family,branch,branch_label,step,source_key,source_structure_id,source_ev,expected_top,top_label,top_projection_kind,top_structure_id,top_memory_id,top_delta_ev,target_count,memory_target_count,round_count,depth_max,frontier_pruned_count,hit_AB,hit_ABC,hit_ABY,hit_terminal_memory,hit_switch_memory,hit_distractor_memory
F06,wrong_seed_control,错误种子对照,2,DX,st_000254,1.05,memory:distractor,none,,,,0.0,0,0,0,0,0,0,0,0,0,0,0
F06,low_budget_control,低预算剪枝,1,A,st_000257,0.017,none,none,,,,0.0,0,0,0,0,0,0,0,0,0,0,0
F06,no_carry_control,无承接对照,1,A,st_000265,1.05,AB,AB,structure,st_000266,,1.05,1,0,1,1,0,1,0,0,0,0,0
F06,no_carry_control,无承接对照,2,A,st_000265,1.05,AB,AB,structure,st_000266,,1.05,1,0,1,1,0,1,0,0,0,0,0
F06,no_carry_control,无承接对照,3,A,st_000265,1.05,AB,AB,structure,st_000266,,1.05,1,0,1,1,0,1,0,0,0,0,0
F06,branch_switch,权重转向,1,A,st_000273,1.05,AB,AB,structure,st_000274,,1.05,1,0,1,1,0,1,0,0,0,0,0
F06,branch_switch,权重转向,2,AB,st_000274,1.05,ABY,ABY,structure,st_000279,,0.646875,2,0,1,1,0,0,1,1,0,0,0
F06,branch_switch,权重转向,3,ABY,st_000279,1.05,memory:switch,memory:switch,memory,st_000280,em_000105,1.05,1,1,1,1,0,0,0,0,0,1,0
F06,terminal_stop,终端停止,1,A,st_000281,1.05,AB,AB,structure,st_000282,,1.05,1,0,1,1,0,1,0,0,0,0,0
F06,terminal_stop,终端停止,2,AB,st_000282,1.05,ABC,ABC,structure,st_000283,,0.646875,2,0,1,1,0,0,1,1,0,0,0
F06,terminal_stop,终端停止,3,ABC,st_000283,1.05,memory:terminal,memory:terminal,memory,st_000284,em_000106,1.05,1,1,1,1,0,0,0,0,1,0,0
F06,terminal_stop,终端停止,4,ABCD,st_000284,1.05,none,none,,,,0.0,0,0,0,0,0,0,0,0,0,0,0
F07,chain_follow,连续承接,1,A,st_000289,1.06,AB,AB,structure,st_000290,,1.06,1,0,1,1,0,1,0,0,0,0,0
